# IEEE 24-bus RTS-96 (bulk-corridor scenario)
# AC/DC-FACTS transmission expansion planning benchmark.
# All-technologies case: candidate AC circuits, VSC-HVDC links, SSSCs,
# STATCOMs and modular capacitor banks are simultaneously available.
# Per-unit on Sbase = 100 MVA. Pure investment objective (CRF = 1,
# OPF_SCALE = 0). Demands are scaled by load_scale = 0.75.
# A 2000 MW generation hub at bus 22 feeds demand at bus 8 over a 700 km corridor.
# Costs: MISO MTEP24 Transmission Cost Estimation Guide (USD 2024).
# See README.md for parameter derivation and reproduction instructions.
#
param CRF := 1; param OPF_SCALE := 0; param load_scale := 0.75;
param Sbase := 100;
param refbus := 1;
param: BUS: bus_type Pd Qd Gsh Bsh Vmin Vmax :=
  1 3 3.24000 0.97200 0.00000 0.00000 0.95 1.05
  2 2 2.91000 0.87300 0.00000 0.00000 0.95 1.05
  3 1 5.40000 1.62000 0.00000 0.00000 0.95 1.05
  4 1 2.22000 0.66600 0.00000 0.00000 0.95 1.05
  5 1 2.13000 0.63900 0.00000 0.00000 0.95 1.05
  6 2 4.08000 1.22400 0.00000 0.00000 0.95 1.05
  7 2 3.75000 1.12500 0.00000 0.00000 0.95 1.05
  8 1 18.00000 5.40000 0.00000 0.00000 0.95 1.05
  9 2 5.25000 1.57500 0.00000 0.00000 0.95 1.05
  10 1 5.85000 1.75500 0.00000 0.00000 0.95 1.05
  11 1 0.00000 0.00000 0.00000 0.00000 0.95 1.05
  12 1 0.00000 0.00000 0.00000 0.00000 0.95 1.05
  13 2 7.95000 2.38500 0.00000 0.00000 0.95 1.05
  14 2 5.82000 1.74600 0.00000 0.00000 0.95 1.05
  15 2 9.51000 2.85300 0.00000 0.00000 0.95 1.05
  16 2 3.00000 0.90000 0.00000 0.00000 0.95 1.05
  17 1 0.00000 0.00000 0.00000 0.00000 0.95 1.05
  18 2 9.99000 2.99700 0.00000 0.00000 0.95 1.05
  19 1 5.43000 1.62900 0.00000 0.00000 0.95 1.05
  20 1 3.84000 1.15200 0.00000 0.00000 0.95 1.05
  21 2 0.00000 0.00000 0.00000 0.00000 0.95 1.05
  22 2 0.00000 0.00000 0.00000 0.00000 0.95 1.05
  23 2 0.00000 0.00000 0.00000 0.00000 0.95 1.05
  24 1 0.00000 0.00000 0.00000 0.00000 0.95 1.05
;
param: GEN: gen_bus Pgmin Pgmax Qgmin Qgmax cg2 cg1 cg0 :=
  G1  1  0.0000 4.8960 -0.9792 2.4000  0.000000 0.000000 0.000000
  G2  2  0.0000 4.8960 -0.9792 2.4000  0.000000 0.000000 0.000000
  G3  6  0.0000 0.0000 -3.0000 0.0000  0.000000 0.000000 0.000000
  G4  7  0.0000 7.6500 0.0000 3.8250  0.000000 0.000000 0.000000
  G5  13  0.0000 15.0705 0.0000 7.2000  0.000000 0.000000 0.000000
  G6  14  0.0000 0.0000 -1.5000 6.0000  0.000000 0.000000 0.000000
  G7  15  0.0000 5.4825 -1.0965 2.7412  0.000000 0.000000 0.000000
  G8  16  0.0000 3.9525 -0.7905 1.9763  0.000000 0.000000 0.000000
  G9  18  0.0000 10.2000 -1.5000 5.1000  0.000000 0.000000 0.000000
  G10  21  0.0000 10.2000 -1.5000 5.1000  0.000000 0.000000 0.000000
  G11  22  0.0000 20.0000 -6.0000 6.0000  0.000000 300.000000 0.000000
  G12  23  0.0000 16.8300 -3.3660 8.4150  0.000000 0.000000 0.000000
;
param: ELINE: el_f el_t el_r el_x el_bch el_S el_tap el_tside :=
  E1  1 2  0.0026 0.0139 0.4611  2.0000  1.000000  1
  E2  1 3  0.0546 0.2112 0.0572  2.2000  1.000000  1
  E3  1 5  0.0218 0.0845 0.0229  2.2000  1.000000  1
  E4  2 4  0.0328 0.1267 0.0343  2.2000  1.000000  1
  E5  2 6  0.0497 0.192 0.052  2.2000  1.000000  1
  E6  3 9  0.0308 0.119 0.0322  2.2000  1.000000  1
  E7  3 24  0.0023 0.0839 0  6.0000  1.000000  1
  E8  4 9  0.0268 0.1037 0.0281  2.2000  1.000000  1
  E9  5 10  0.0228 0.0883 0.0239  2.2000  1.000000  1
  E10  6 10  0.0139 0.0605 2.459  2.0000  1.000000  1
  E11  7 8  0.0159 0.0614 0.0166  2.2000  1.000000  1
  E12  8 9  0.0427 0.1651 0.0447  2.2000  1.000000  1
  E13  8 10  0.0427 0.1651 0.0447  2.2000  1.000000  1
  E14  9 11  0.0023 0.0839 0  6.0000  1.000000  1
  E15  9 12  0.0023 0.0839 0  6.0000  1.000000  1
  E16  10 11  0.0023 0.0839 0  6.0000  1.000000  1
  E17  10 12  0.0023 0.0839 0  6.0000  1.000000  1
  E18  11 13  0.0061 0.0476 0.0999  6.2500  1.000000  1
  E19  11 14  0.0054 0.0418 0.0879  6.2500  1.000000  1
